"id","account_id","classification_id","assigned_by","assignment_type","confidence_score","notes","batch_id","is_active","created_at","updated_at"
"461","179","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"462","214","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"463","232","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"464","511","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"465","239","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"466","1106","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"467","250","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"468","499","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"469","317","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"470","319","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"1","4","7",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12+00","22/9/2025 01:44:43.1+00"
"2","8","7",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12+00","22/9/2025 01:44:43.1+00"
"3","5","7",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12+00","22/9/2025 01:44:43.1+00"
"4","6","7",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12+00","22/9/2025 01:44:43.1+00"
"5","10","7",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12+00","22/9/2025 01:44:43.1+00"
"6","4","4",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12.1+00","22/9/2025 01:44:43.1+00"
"7","8","4",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12.1+00","22/9/2025 01:44:43.1+00"
"8","5","4",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12.1+00","22/9/2025 01:44:43.1+00"
"9","6","4",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12.1+00","22/9/2025 01:44:43.1+00"
"10","10","4",,"auto",,,"4c4ffd0e-b132-49db-8f2a-8a5236934c19","f","22/9/2025 01:39:12.1+00","22/9/2025 01:44:43.1+00"
"471","321","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"472","1174","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"473","322","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
"474","323","7",,"auto",,,"2f6b5d82-2119-49f3-ada8-fc7af669eb87","f","22/9/2025 08:12:37.1+00","24/9/2025 02:01:41+00"
